,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,.ID.,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,.PARENT.,name,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia,custo
171,171,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,171,K7C15J2,K7E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT4.vrp,1030.0
172,172,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,172,K7C15J2,K7E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_2.vrp,8636.0
173,173,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,173,K7C15J2,K7E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n513-k21.vrp,25206.0
174,174,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,174,K7C15J2,K7E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n344-k43.vrp,43490.0
175,175,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,175,K7C15J2,K7E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n856-k95.vrp,90872.0
176,176,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,176,K7C15J2,K7E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT14.vrp,865.0
177,177,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,177,K7C15J2,K7E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n480-k70.vrp,91660.0
178,178,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,178,K7C15J2,K7E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n237-k14.vrp,27875.0
179,179,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,179,K7C15J2,K7E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_19.vrp,1401.0
180,180,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,180,K7C15J2,K7E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n270-k35.vrp,36288.0
181,181,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,181,K7C15J2,K7E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n129-k18.vrp,30004.0
182,182,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,182,K7C15J2,K7E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n266-k58.vrp,77371.0
183,183,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,183,K7C15J2,K7E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n613-k62.vrp,62340.0
184,184,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,184,K7C15J2,K7E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n936-k151.vrp,
185,185,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,185,K7C15J2,K7E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n502-k39.vrp,69903.0
186,186,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,186,K7C15J2,K7E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n167-k10.vrp,20992.0
187,187,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,187,K7C15J2,K7E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n536-k96.vrp,97165.0
188,188,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,188,K7C15J2,K7E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n367-k17.vrp,23504.0
189,189,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,189,K7C15J2,K7E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_5.vrp,6534.0
190,190,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,190,K7C15J2,K7E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n586-k159.vrp,194302.0
191,191,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,191,K7C15J2,K7E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n766-k71.vrp,119336.0
192,192,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,192,K7C15J2,K7E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n439-k37.vrp,37489.0
193,193,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,193,K7C15J2,K7E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT13.vrp,1537.0
194,194,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,194,K7C15J2,K7E7C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_7.vrp,10426.0
195,195,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,195,K7C15J2,K7E7C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_12.vrp,1008.0
196,196,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,196,K7C15J2,K7E7C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT10.vrp,1431.0
197,197,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,197,K7C15J2,K7E7C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n359-k29.vrp,53495.0
198,198,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,198,K7C15J2,K7E7C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n294-k50.vrp,48823.0
